docid,Comments,Lable
100204,"භාන්ඩය ඉතමත් හොද තත්වයක පවතුනි. නියමිත ප්‍රමිතියටම නිමව තිබුනි, ස්තිතියි",5
100205,භාන්ඩය ඉතා හොද තත්වයෙ පවතී.,5
100206,මෙම වෙබ් අඩවියේ පාරිබෝගික සේවාව ඉතා ඉහළ මට්ටමක පවතී. මා ඇසූ සියලු ගැටලු වලට එ සැනින් පිලිතුරු ලැබුනි.,5
100207,දුරකථන කවරය ඉතා හොද ප්‍රමිතියකට නිමවා ඇත.,5
100208,මා බලා පොරොත්තු වූ වෙලද නාමය යටතේම ඇති අයිතම ඉතාමත් සදාරන මිලට නිවසටම ගෙනත් දෙනු ලබයි. සියලුම කාර්යය බහුල කන්තාවන් හට වටින මර්ගගත වෙලද පලකි.,5
100209,හොදයී,5
100210,ඉතා හොදයී,5
100211,ඉතා හොදයි,5
100212,සදහන් කර තිබූ විස්තර වලට අනුව සියල්ල නිවරදි ආකරයෙන් ඇනවුම තුල තිබුනි. මුදලට ඉතාමත් වටී.,5
100213,භාණ්ඩය ඉතා උසස් ත්ත්වයේ ඇත.බලාපොරොත්තු වූ ආකාරයට ලැබී ඇත.,5
100214,ඉතාමත් උසස් තත්වයේ කලිසමකි.,5
100215,සුපිරි කට්ටලයක් ! මැහුම් පිළිවෙලට ඇත. මම නිර්දේශ කරමි!,5
100216,උසස්ම අමුද්‍රව්‍ය වලින් නිමවා ඇත. මම ගොඩක් සතුටුයි මෙම සපත්තු යුගල ඇනවුම් කරාට.,5
100217,භාන්ඩ ඇනවුම පිලිබදව උපරිමයෙන් තෘප්තිමත්,5
100218,ඉතාමත් හොද branded සපත්තු පහසුවෙන් ගෙදරටම ගෙන්න ගන්න හොදම තැන,5
100219,ඉතා හොද lock එකක් තියෙනවා. ඇත්තටම මන් පින්තූර වලින් දැක්කට මේ තරම් හොද ඇති කියල හිතුවෙ නැහැ.,5
100220,මේසිටෙ එකේ කැමති brand කැමති අදුම් ගොඩාක් තියෙනවා. පට්ට...,5
100221,හරිම ලස්සන Teddy කෙනෙක්. ඉතාමත් හොද quality එකකට හදල තියෙනවා.,5
100222,ගත්තු ගානටනම් හොදටම වටිනවා. මේ දවස් වල කඩේකට ගිහින් තෝරලා බඩු ගන්න අමරු නිසා දැන්මේ. ඒත් ගත්තට පස්සෙ හොදටම satisfy උනා bag එක ගැන.,5
100223,Order එකනම් හොදටම තිබුනා. මට දවසක් ඇතුලට order එක ලැබුනා.,5
100224,හොදම branded අදුම්. Order එක දාපු ගමන් ටක්ගාල ආවා.,5
100225,Offer එකනම් පට්ට වටිනවා. ඒ ගානට ගෙදරටම ගෙනත් දෙන එක මාර වටිනවා.,5
100226,හොද sound quality එකක් තියෙනවා. මේකනම් පට්ට.,5
100227,පින්තූර වල වගේම ලස්සනට තියෙනවා. ගොඩක් හොද material එකකින් හදල තියෙන්නෙ.,5
100228,"වෙලවටම ආවා. මන් salon එකට බඩු අඩු වෙලා ටක්ගාල order කරේ, මේ කාලේ බඩු අඩු නිසා. මේවගේ වෙලාවකටම මාරම වටිනවා.",5
100229,ඉතාමත් හොද තත්වයේ අදුමක්. ගත්ත ගානට හොදටම වටිනවා.,5
100230,හරි සෝයි teddyයා. මන් හරි ආසයි. So cute..,5
100231,පෙනුමනම් හොදටම තියෙනවා. මන් මාර ලස්සනයි. 3 පාරක් use කරන්න පුලුවන්.,5
100232,මේකනම් මරු. Color patterns ගොඩක් තියෙනවා. මන් කැමතියි.,5
100233,මේ සෙට් එකනම් පට්ට. පාට ගොඩාරියක් තියෙනවා. වෙලාවට බඩුත් ආවා.,5
100234,Sound නම් සුපිරි. Bluetoothතුත් තියෙනවා.,5
100235,Package එක පරිස්සමට ලැබුනා. හදන විදිය ගැන description එකකුත් තිබ්බා. ගොඩක් හොදට responsible විදියට වැඩේ කරනවා.,5
100236,මේකනම් මාර ලස්සනයි. හොද හයියට තියෙනවා. Switch එකත් මාර smoothly වැඩ කරනවා.,5
100237,"Finishing නම් මරු, Original එකක් වගේම තියෙනවා. පට්ට",5
100238,එලියත් හොදයි. Light levels 3ක් තියෙන නිසා පහසු විදියට use කරන්න පුලුවන්. මාර comfortable. මන් ගොඩක් කැමතියි මේකට.,5
100239,හරිම ලස්සනයි. ඒ වගේම මාරම සැහැල්ලුයි ඇගටත්.,5
100240,හරිම ලස්සන design එකක්. මන් ගොඩක් ආසයි මේකට.,5
100241,හරිම පහසුවෙන් use කරන්න පුලුවන්. ගොඩක් හොදට හදල තියෙනවා.,5
100242,හරිම ලස්සනයි. පොඩි උනට ඉඩ තියෙනව බඩු දාන්න. හරිම ශෝක්.,5
100243,හරිම පහසුයි. Free sizes ඕන කෙනෙක්ට පහසුවෙන් use කරන්න පුලුවන්. මන් ඇත්තටම කැමතියි මේකට.,5
100244,හොඳ තත්ත්වයේ භාණ්ඩයක්. මිලදී ගැනීම ගැන නිසැකවම සතුටුයි!,5
100245,පොදුවේ ඔක්කොම හොදටම වැඩ. Battery එකත් හොදයි.,5
100246,"පටිය ඉතා හොඳින් ගැලපේ. එය බලවත් හා දැඩි, ගුණාත්මක බවින් පෙනේ.",5
100247,Order කරල දවස් දෙකකින් ආවා. මේකනම් පට්ට. හොද එලියක් තියෙමවා. මම කැමතියි ඒකට.,5
100248,හරිම ලොකුයි මේ teddy නම්. මන් මාරම ආසයි. ලස්සනයි. හරි සිනිදුයි. Gift එකකටනම් මරු.,5
100249,මන් gift එකක් ඒදියට order කරේ. මට ඕන දවසටම ගිහින් තිබුනා. ඇත්තටම හොද service එකක්.,5
100250,විකුනන ගානට බොහොම සාදාරනයි. ඉතාමත් හොද භාන්ඩයක්.,5
100251,ඉතා හොද තත්වයෙන් ඇත.බලාපොරොත්තු වූ දිනටත් පෙර නිවසටම ලැබුණි.,5
100252,මේකටනම් මන් හුගක් කැමතියි. හොද branded පෙනුමක් තියෙනවා. පටියත් හොදයි.,5
100253,හොද හයිය leather එකකින් හදල තියෙන්නෙ. හරි ලස්සනයි. කාලයක් පාවිච්චි කරන්න පුලුවන්. මන් හරි කැමතියි.,5
100254,Original charger එකක් වගේමයි. ඉක්මනට charge වෙනවා. හොදට plug වෙනවා. මන් කැමතියි මේකට.,5
100255,මේකනම් නියමට මට්ච් වෙනවා. ඇහැටත් සැහැල්ලුයි. මන් ආසයි මේකට.,5
100256,හරිම ලස්සන පාට සෙට් එකක්කම තියෙනවා. ඕන අදුමකට ගැලපෙන්න. මන් හරි කැමතියි මේකට.,5
100257,Description එකේ තිබුන විදියට වෙලාවට ආව. ස්තුතියි.,5
100258,මම ඇනවුම් කල බාන්ඩයම මට ලැබුන.ඒ ගැන මට ගොඩක් සතුටුයි.බොහොමත්ම ස්තූතියි.,5
100259,"ඉතා හොඳ නිෂ්පාදනයක්, ඉතා හොඳයි, ඉතා හොඳින් ඇසුරුම් කර ඇත.",5
100260,"භාණ්ඩය ක්‍රමවත්ව අසුරා තිබීම, මා සිතා සිටි දිනට කලින් භාණ්ඩය නිවසට ගෙනවිත් ලබා දීම පිලිබදව හා ලබාගත් භාණ්ඩය පිලිබදව උපරිමයෙන්ම තෘප්තිමත් වෙමි..ස්තූතියි...",5
100261,මෙම හෙඩ් ලයිට් එක ගොඩක් ශක්තිමත්! මගේ බයිසිකලයතරම් බරයි. ! මන් ගොඩක් කැමතියි මේකට.,5
100262,"මම එයට කැමතියි, මම නිසැකවම නැවත කියමි, මම 90 B ප්‍රමාණයෙන් යුක්ත වන අතර අත්වැසුම් ලෙස මම විශිෂ්ට ලෙස භාවිතා කරමි.",5
100263,ඉතාමත් ලස්සන හා හොද ඇදුමක්,5
100264,ඇනවුම නියමිත වෙලාවට ආව. පටියත් ගොඩක් හොදයි. මේ seller නම් ගොඩක් හොදයි.,5
100265,මම recommend කරනවා !!! මම ඇත්තටම සතුටු වෙනවා. ඉතාමත් ඉක්මනින් භාන්ඩය ලැබුනා සහ හොඳින් ඇසුරුම් කර ලබා දී තිබෙනවා.,5
100266,"එය උසස් තත්ත්වයේ බව පෙනේ, හෙට අපි අපේ දරුවා සමඟ එය Try කරනවා. ඔබට ස්තුතියි",5
100267,"Thank you very much for giving me such a fabulous product to my hands, rather than other stuffs I was more delighted from your valuable Service, hope to be in the market for everlasting years....❤️",5
